month	total number of job postings	company
2013-Nov	34	RBC.Capital.Markets
2013-Dec	53	RBC.Capital.Markets
2014-Jan	60	RBC.Capital.Markets
2014-Feb	36	RBC.Capital.Markets
2014-Mar	92	RBC.Capital.Markets
2014-Apr	60	RBC.Capital.Markets
2014-May	44	RBC.Capital.Markets
2014-Jun	30	RBC.Capital.Markets
2014-Jul	65	RBC.Capital.Markets
2014-Aug	47	RBC.Capital.Markets
2014-Sep	97	RBC.Capital.Markets
2014-Oct	40	RBC.Capital.Markets
2014-Nov	13	RBC.Capital.Markets
2014-Dec	34	RBC.Capital.Markets
2015-Jan	85	RBC.Capital.Markets
2015-Feb	49	RBC.Capital.Markets
2015-Mar	87	RBC.Capital.Markets
2015-Apr	69	RBC.Capital.Markets
2015-May	56	RBC.Capital.Markets
2015-Jun	76	RBC.Capital.Markets
2015-Jul	59	RBC.Capital.Markets
2015-Aug	74	RBC.Capital.Markets
2015-Sep	42	RBC.Capital.Markets
2015-Oct	39	RBC.Capital.Markets
2015-Nov	50	RBC.Capital.Markets
2015-Dec	46	RBC.Capital.Markets
2016-Jan	102	RBC.Capital.Markets
2016-Feb	90	RBC.Capital.Markets
2016-Mar	65	RBC.Capital.Markets
2016-Apr	48	RBC.Capital.Markets
2016-May	36	RBC.Capital.Markets
2016-Jun	71	RBC.Capital.Markets
2012-Jan	94	bank.of.america
2012-Feb	91	bank.of.america
2012-Mar	111	bank.of.america
2012-Apr	112	bank.of.america
2012-May	118	bank.of.america
2012-Jun	116	bank.of.america
2012-Jul	101	bank.of.america
2012-Aug	97	bank.of.america
2012-Sep	116	bank.of.america
2012-Oct	89	bank.of.america
2012-Nov	41	bank.of.america
2012-Dec	73	bank.of.america
2013-Jan	252	bank.of.america
2013-Feb	219	bank.of.america
2013-Mar	312	bank.of.america
2013-Apr	223	bank.of.america
2013-May	287	bank.of.america
2013-Jun	386	bank.of.america
2013-Jul	247	bank.of.america
2013-Aug	422	bank.of.america
2013-Sep	466	bank.of.america
2013-Oct	536	bank.of.america
2013-Nov	353	bank.of.america
2013-Dec	406	bank.of.america
2014-Jan	497	bank.of.america
2014-Feb	392	bank.of.america
2014-Mar	815	bank.of.america
2014-Apr	372	bank.of.america
2014-May	414	bank.of.america
2014-Jun	456	bank.of.america
2014-Jul	455	bank.of.america
2014-Aug	434	bank.of.america
2014-Sep	610	bank.of.america
2014-Oct	373	bank.of.america
2014-Nov	242	bank.of.america
2014-Dec	175	bank.of.america
2015-Jan	472	bank.of.america
2015-Feb	377	bank.of.america
2015-Mar	641	bank.of.america
2015-Apr	638	bank.of.america
2015-May	507	bank.of.america
2015-Jun	593	bank.of.america
2015-Jul	561	bank.of.america
2015-Aug	533	bank.of.america
2015-Sep	581	bank.of.america
2015-Oct	489	bank.of.america
2015-Nov	517	bank.of.america
2015-Dec	350	bank.of.america
2016-Jan	436	bank.of.america
2016-Feb	406	bank.of.america
2016-Mar	346	bank.of.america
2016-Apr	350	bank.of.america
2016-May	488	bank.of.america
2016-Jun	364	bank.of.america
2012-Jan	27	credit.suisse
2012-Feb	29	credit.suisse
2012-Mar	50	credit.suisse
2012-Apr	46	credit.suisse
2012-May	22	credit.suisse
2012-Jun	102	credit.suisse
2012-Jul	52	credit.suisse
2012-Aug	69	credit.suisse
2012-Sep	52	credit.suisse
2012-Oct	46	credit.suisse
2012-Nov	43	credit.suisse
2012-Dec	45	credit.suisse
2013-Jan	8	credit.suisse
2013-Feb	8	credit.suisse
2013-Mar	5	credit.suisse
2013-Apr	4	credit.suisse
2013-May	10	credit.suisse
2013-Jun	7	credit.suisse
2013-Jul	17	credit.suisse
2013-Aug	45	credit.suisse
2013-Sep	22	credit.suisse
2013-Oct	28	credit.suisse
2013-Nov	12	credit.suisse
2013-Dec	16	credit.suisse
2014-Jan	6	credit.suisse
2014-Feb	6	credit.suisse
2014-Mar	11	credit.suisse
2014-Apr	7	credit.suisse
2014-May	4	credit.suisse
2014-Jun	1	credit.suisse
2014-Jul	6	credit.suisse
2014-Aug	11	credit.suisse
2014-Sep	11	credit.suisse
2014-Oct	18	credit.suisse
2014-Nov	2	credit.suisse
2014-Dec	10	credit.suisse
2015-Jan	4	credit.suisse
2015-Feb	3	credit.suisse
2015-Mar	9	credit.suisse
2015-Apr	5	credit.suisse
2015-May	12	credit.suisse
2015-Jun	10	credit.suisse
2015-Jul	9	credit.suisse
2015-Aug	227	credit.suisse
2015-Sep	94	credit.suisse
2015-Oct	83	credit.suisse
2015-Nov	89	credit.suisse
2015-Dec	78	credit.suisse
2016-Jan	51	credit.suisse
2016-Feb	91	credit.suisse
2016-Mar	106	credit.suisse
2016-Apr	85	credit.suisse
2016-May	71	credit.suisse
2016-Jun	81	credit.suisse
2012-Jan	4	deutsche.bank
2012-Feb	9	deutsche.bank
2012-Mar	12	deutsche.bank
2012-Apr	5	deutsche.bank
2012-May	17	deutsche.bank
2012-Jun	11	deutsche.bank
2012-Jul	5	deutsche.bank
2012-Aug	0	deutsche.bank
2012-Sep	12	deutsche.bank
2012-Oct	5	deutsche.bank
2012-Nov	4	deutsche.bank
2012-Dec	6	deutsche.bank
2013-Jan	5	deutsche.bank
2013-Feb	1	deutsche.bank
2013-Mar	7	deutsche.bank
2013-Apr	5	deutsche.bank
2013-May	6	deutsche.bank
2013-Jun	9	deutsche.bank
2013-Jul	17	deutsche.bank
2013-Aug	6	deutsche.bank
2013-Sep	93	deutsche.bank
2013-Oct	79	deutsche.bank
2013-Nov	72	deutsche.bank
2013-Dec	28	deutsche.bank
2014-Jan	21	deutsche.bank
2014-Feb	49	deutsche.bank
2014-Mar	42	deutsche.bank
2014-Apr	13	deutsche.bank
2014-May	4	deutsche.bank
2014-Jun	4	deutsche.bank
2014-Jul	11	deutsche.bank
2014-Aug	5	deutsche.bank
2014-Sep	132	deutsche.bank
2014-Oct	11	deutsche.bank
2014-Nov	9	deutsche.bank
2014-Dec	175	deutsche.bank
2015-Jan	29	deutsche.bank
2015-Feb	2	deutsche.bank
2015-Mar	33	deutsche.bank
2015-Apr	109	deutsche.bank
2015-May	264	deutsche.bank
2015-Jun	166	deutsche.bank
2015-Jul	147	deutsche.bank
2015-Aug	230	deutsche.bank
2015-Sep	182	deutsche.bank
2015-Oct	233	deutsche.bank
2015-Nov	193	deutsche.bank
2015-Dec	66	deutsche.bank
2016-Jan	25	deutsche.bank
2016-Feb	48	deutsche.bank
2016-Mar	242	deutsche.bank
2016-Apr	239	deutsche.bank
2016-May	170	deutsche.bank
2016-Jun	78	deutsche.bank
2012-Jan	64	the.bank.of.new.york.mellon
2012-Feb	78	the.bank.of.new.york.mellon
2012-Mar	137	the.bank.of.new.york.mellon
2012-Apr	122	the.bank.of.new.york.mellon
2012-May	115	the.bank.of.new.york.mellon
2012-Jun	123	the.bank.of.new.york.mellon
2012-Jul	137	the.bank.of.new.york.mellon
2012-Aug	86	the.bank.of.new.york.mellon
